Scene,Position,File,True Positives,False Positives
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_0.jpg,0,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_1.jpg,1,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_2.jpg,1,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_3.jpg,1,1
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_4.jpg,1,1
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_5.jpg,1,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_6.jpg,1,1
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_0.jpg,0,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_1.jpg,1,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_2.jpg,1,0
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_3.jpg,1,1
2025-03-13_01-00-07,75.00_55.00,python/scans/2025-03-13_01-00-07/75.00_55.00/img_4.jpg,1,1
