Scene,Position,File,True Positives,False Positives,False Negatives
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_5.jpg,2,2,0
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_6.jpg,2,1,2
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_7.jpg,1,2,2
2025-03-13_01-00-07,45.00_60.00,python/scans/2025-03-13_01-00-07/45.00_60.00/img_8.jpg,2,2,2
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_0.jpg,0,0,0
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_1.jpg,1,1,2
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_2.jpg,3,0,1
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_3.jpg,3,2,5
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_4.jpg,3,1,5
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_5.jpg,3,4,2
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_6.jpg,5,3,1
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_7.jpg,3,5,1
2025-03-13_01-00-07,45.00_45.00,python/scans/2025-03-13_01-00-07/45.00_45.00/img_8.jpg,3,0,1
2025-03-13_00-38-51,75.00_55.00,python/scans/2025-03-13_00-38-51/75.00_55.00/img_0.jpg,0,0,0
